URL,Content Type,Size (bytes),# of outlinks
"https://www.latimes.com/california/story/2021-08-25/full-coverage-audio-versions-of-some-of-our-great-l-a-times-articles
","text/html
","1048576
","14
"
":58.073 [Crawler 4] WARN edu.uci.ics.crawler4j.crawler.WebCrawler - Warning: unknown page size exceeded max-download-size, truncated to: (1048576), at URL: https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/hospitals/
","text/html
","177381
","138
"
"https://www.latimes.com/business/story/2022-02-14/avocado-suspension-mexico-michoacan-california-farmers-supply
","text/html
","235354
","143
"
"https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/hospitals/
","text/html
","256481
","149
"
"https://www.latimes.com/about/for-the-record/
","text/html
","301939
","145
"
"https://www.latimes.com/lifestyle/story/2022-02-08/have-you-been-ghosted-have-you-ghosted-someone-tell-us-about-it-valentines-day
","text/html
","237898
","147
"
"https://www.latimes.com/politics/story/2022-02-16/san-francisco-school-board-recall-democrats
","text/html
","251047
","142
"
"https://www.latimes.com/california/story/2022-02-06/requests-religious-exemptions-covid-19-vaccine-letters
","text/html
","217446
","124
"
"https://www.latimes.com/sports/soccer/story/2022-02-15/liga-mx-femenil-nwsl-mia-fishel
","text/html
","252528
","149
"
"https://www.latimes.com/california/story/2022-02-16/suge-knights-attorney-takes-plea-deal-barred-from-practicing-law-for-life
","text/html
","267266
","148
"
"https://www.latimes.com/brandpublishing/business-advisory/story/2021-12-13/conversation-with-an-expert-the-business-of-esports-and-gaming
","text/html
","295482
","139
"
"https://www.latimes.com/science/story/2022-02-11/fda-postpones-meeting-on-pfizer-vaccine-for-kids-under-5
","text/html
","275537
","133
"
"https://www.latimes.com/food/story/2022-02-16/at-the-ultimate-super-bowl-party-a-nonprofit-savesd-almost-2-000-pounds-of-food
","text/html
","227796
","132
"
"https://www.latimes.com/entertainment-arts/story/2022-02-13/photos-celebrities-rams-bengals-match-up-super-bowl-lvi
","text/html
","268927
","135
"
"https://www.latimes.com/sports/olympics/story/2022-02-15/kamila-valieva-strong-figure-skating-short-program-performance-deserves-asterisk
","text/html
","259922
","139
"
"https://www.latimes.com/podcasts
","text/html
","265822
","152
"
"https://www.latimes.com/home/la-hm-schnabel-palm-springs-20160312-story.html
","text/html
","173077
","126
"
"https://www.latimes.com/lifestyle/image
","text/html
","249044
","146
"
"https://www.latimes.com/california/story/2022-02-16/lausd-to-keep-outdoor-mask-mandate-in-place-this-week-but-changes-may-be-ahead
","text/html
","182408
","122
"
"https://www.latimes.com/about/how-to-obtain-rights-permissions
","text/html
","221003
","129
"
"https://www.latimes.com/entertainment-arts/story/2022-02-16/bob-saget-death-family-lawsuit-records-photos-video
","text/html
","388888
","169
"
"https://www.latimes.com/subscriber-terms-and-conditions
","text/html
","180337
","144
"
"https://www.latimes.com/privacy-policy
","text/html
","309830
","148
"
"https://www.latimes.com/video
","text/html
","206213
","122
"
"https://www.latimes.com/about/virtual-events?utm_source=LATIMES&utm_medium=homepagebarker&utm_campaign=virtual_events
","text/html
","266919
","150
"
